Clause,Term,Opinion,Category,Category Score,Polarity,Polarity Score,Original Sentence
maintenance of the property is up to standard,maintenance,up to standard,Service,0.5525595545768738,Positive,0.9888,"the payment system is functional, and maintenance of the property is up to standard"
the reservation management is effective,reservation management,effective,Facility,0.7393583059310913,Positive,0.9998,"the reservation management is effective, and mobile accessibility is convenient"
and mobile accessibility is convenient,mobile accessibility,convenient,Experience,0.39249879121780396,Positive,0.9989,"the reservation management is effective, and mobile accessibility is convenient"
the payments are secure,payment,secure,Amenity,0.8366288542747498,Positive,0.9992,"the payments are secure, and maintenance is carried out regularly"
maintenance is carried out regularly,maintenance,regularly,Amenity,0.562343418598175,Negative,0.6301,"the payments are secure, and maintenance is carried out regularly"
the mobile app is user-friendly,mobile app,user-friendly,Facility,0.8157612681388855,Positive,0.9535,"the mobile app is user-friendly, and reservation management is effective"
and reservation management is effective,reservation management,effective,Branding,0.8005334138870239,Positive,0.9998,"the mobile app is user-friendly, and reservation management is effective"
the payment system is reliable,payment system,reliable,Amenity,0.7239654660224915,Positive,0.9998,"the payment system is reliable, and maintenance is addressed promptly"
and maintenance is addressed promptly,maintenance,promptly,Facility,0.5056043267250061,Positive,0.9775,"the payment system is reliable, and maintenance is addressed promptly"
the reservation system is straightforward,reservation system,straightforward,Facility,0.685965895652771,Positive,0.9974,"the reservation system is straightforward, and mobile accessibility is reliable"
mobile accessibility is reliable,mobile accessibility,reliable,Branding,0.8170957565307617,Positive,0.9996,"the reservation system is straightforward, and mobile accessibility is reliable"
the payment process is efficient,payment process,efficient,Amenity,0.8269315958023071,Positive,0.9998,"the payment process is efficient, and maintenance of the hotel facilities is acceptable"
and maintenance of the hotel facilities is acceptable,facilities,acceptable,Facility,0.6485997438430786,Positive,0.9995,"the payment process is efficient, and maintenance of the hotel facilities is acceptable"
the mobile app is functional,mobile app,"functional, smooth",Facility,0.4070638418197632,Positive,0.9983,"the mobile app is functional, and reservation management is smooth"
and reservation management is smooth,reservation management,,Amenity,0.6700770258903503,Positive,0.998,"the mobile app is functional, and reservation management is smooth"
the payments are processed without issues,payments,payments,Amenity,0.7997137904167175,Positive,0.9989,"the payments are processed without issues, and maintenance is handled well"
maintenance is handled well,maintenance,maintenance,Service,0.9680182337760925,Positive,0.9961,"the payments are processed without issues, and maintenance is handled well"
the mobile accessibility is adequate,accessibility,adequate,Facility,0.7429092526435852,Positive,0.9996,"the mobile accessibility is adequate, and reservation management is competent"
and reservation management is competent,reservation management,competent,Branding,0.6641759276390076,Positive,0.9998,"the mobile accessibility is adequate, and reservation management is competent"
the payment options are convenient,payment options,convenient,Amenity,0.5374241471290588,Positive,0.9982,"the payment options are convenient, and maintenance services are routine"
and maintenance services are routine,maintenance services,routine,Facility,0.6148055195808411,Negative,0.999,"the payment options are convenient, and maintenance services are routine"
the reservation system operates well,reservation system,"reservation system, operates well",Facility,0.5855762958526611,Positive,0.9997,"the reservation system operates well, and mobile accessibility is consistent"
mobile accessibility is consistent,mobile accessibility,"mobile accessibility, consistent",Branding,0.8356816172599792,Positive,0.9994,"the reservation system operates well, and mobile accessibility is consistent"
the payments are processed efficiently,payments,,Amenity,0.7222558856010437,Positive,0.9997,"the payments are processed efficiently, and maintenance is generally good"
maintenance is generally good,maintenance,,Service,0.7131481766700745,Positive,0.9996,"the payments are processed efficiently, and maintenance is generally good"
the mobile app is efficient,mobile app,efficient,Branding,0.7658708691596985,Positive,0.9998,"the mobile app is efficient, and reservation management is straightforward"
and reservation management is straightforward,reservation management,straightforward,Facility,0.541996419429779,Positive,0.9976,"the mobile app is efficient, and reservation management is straightforward"
the payment system is reliable,payment system,reliable,Amenity,0.7239648103713989,Positive,0.9998,"the payment system is reliable, and maintenance of equipment is satisfactory"
and maintenance of equipment is satisfactory,equipment,satisfactory,Amenity,0.6471205949783325,Positive,0.9998,"the payment system is reliable, and maintenance of equipment is satisfactory"
the reservation management is efficient,reservation management,efficient,Amenity,0.9110853672027588,Positive,0.9998,"the reservation management is efficient, and mobile accessibility is adequate"
and mobile accessibility is adequate,mobile accessibility,adequate,Experience,0.36735790967941284,Positive,0.9997,"the reservation management is efficient, and mobile accessibility is adequate"
the payments are handled effectively,payments,"payments, effectively",Amenity,0.857822597026825,Positive,0.9998,"the payments are handled effectively, and maintenance is carried out regularly"
and maintenance is carried out regularly,maintenance,"maintenance, regularly",Facility,0.5794053673744202,Positive,0.9621,"the payments are handled effectively, and maintenance is carried out regularly"
the mobile accessibility is good,accessibility,good,Amenity,0.6950559020042419,Positive,0.9998,"the mobile accessibility is good, and reservation management is adequate"
and reservation management is adequate,reservation management,adequate,Facility,0.3743826448917389,Positive,0.9996,"the mobile accessibility is good, and reservation management is adequate"
the payment system is straightforward,payment system,straightforward,Facility,0.6718366742134094,Positive,0.9979,"the payment system is straightforward, and maintenance is up to standard"
and maintenance is up to standard,maintenance,up to standard,Facility,0.767950713634491,Positive,0.7335,"the payment system is straightforward, and maintenance is up to standard"
the mobile app's usability is acceptable,mobile app,"acceptable, smooth",Facility,0.5434327125549316,Positive,0.9955,"the mobile app's usability is acceptable, and reservation management is smooth"
and reservation management is smooth,reservation management,,Amenity,0.6700732707977295,Positive,0.998,"the mobile app's usability is acceptable, and reservation management is smooth"
the payments are processed seamlessly,payment,,Amenity,0.5942089557647705,Positive,0.9979,"the payments are processed seamlessly, and maintenance is satisfactory"
maintenance is satisfactory,maintenance,satisfactory,Facility,0.600862979888916,Positive,0.9997,"the payments are processed seamlessly, and maintenance is satisfactory"
the reservation management system is functional,reservation management system,functional,Amenity,0.5269976258277893,Positive,0.9986,"the reservation management system is functional, and mobile accessibility is convenient"
and mobile accessibility is convenient,mobile accessibility,convenient,Experience,0.39249855279922485,Positive,0.9989,"the reservation management system is functional, and mobile accessibility is convenient"
the payment methods are diverse,,diverse,Amenity,0.731235921382904,Positive,0.99,"the payment methods are diverse, and maintenance of the facilities is acceptable"
and maintenance of the facilities is acceptable,facilities,acceptable,Facility,0.7747895121574402,Positive,0.9995,"the payment methods are diverse, and maintenance of the facilities is acceptable"
the mobile accessibility feature works as expected,mobile accessibility feature,works as expected,Facility,0.5683684349060059,Positive,0.9922,"the mobile accessibility feature works as expected, and reservation management is efficient"
reservation management is efficient,reservation management,efficient,Branding,0.6007729172706604,Positive,0.9998,"the mobile accessibility feature works as expected, and reservation management is efficient"
the payment processing is straightforward,payment,straightforward,Branding,0.49356701970100403,Positive,0.9972,"the payment processing is straightforward, and maintenance is carried out appropriately"
and maintenance is carried out appropriately,maintenance,appropriately,Service,0.8812333941459656,Positive,0.9979,"the payment processing is straightforward, and maintenance is carried out appropriately"
the reservation system operates smoothly,reservation system,,Facility,0.5198448300361633,Positive,0.9997,"the reservation system operates smoothly, and mobile accessibility is satisfactory"
and mobile accessibility is satisfactory,mobile accessibility,satisfactory,Branding,0.8408418297767639,Positive,0.9998,"the reservation system operates smoothly, and mobile accessibility is satisfactory"
the payment procedures are handled effectively,payment procedures,up to standard,Amenity,0.7620941996574402,Positive,0.9998,"the payment procedures are handled effectively, and maintenance is up to standard"
and maintenance is up to standard,maintenance,,Facility,0.767950713634491,Positive,0.7335,"the payment procedures are handled effectively, and maintenance is up to standard"
the mobile application is functional,mobile application,functional,Branding,0.355536550283432,Positive,0.9975,"the mobile application is functional, and reservation management is satisfactory"
and reservation management is satisfactory,reservation management,satisfactory,Branding,0.8289318680763245,Positive,0.9998,"the mobile application is functional, and reservation management is satisfactory"
the payment process is efficient,payment process,efficient,Amenity,0.8269335031509399,Positive,0.9998,"the payment process is efficient, and maintenance is performed regularly"
maintenance is performed regularly,maintenance,regularly,Amenity,0.7335782647132874,Positive,0.673,"the payment process is efficient, and maintenance is performed regularly"
the reservation management system functions well,reservation management system,functions well,Facility,0.6051132082939148,Positive,0.9996,"the reservation management system functions well, and mobile accessibility is reliable"
and mobile accessibility is reliable,mobile accessibility,reliable,Experience,0.4565148949623108,Positive,0.9997,"the reservation management system functions well, and mobile accessibility is reliable"
the payments are handled smoothly,payment,smoothly,Amenity,0.724648118019104,Positive,0.9996,"the payments are handled smoothly, and maintenance is acceptable"
and maintenance is acceptable,maintenance,acceptable,Branding,0.31438425183296204,Positive,0.9989,"the payments are handled smoothly, and maintenance is acceptable"
the security management is good,security management,good,Facility,0.6984764933586121,Positive,0.9998,"the security management is good, and the pool area is clean"
the pool area is clean,pool area,clean,Facility,0.8083246946334839,Positive,0.9996,"the security management is good, and the pool area is clean"
the fitness center is well-equipped,fitness center,well-equipped,Amenity,0.8325088620185852,Positive,0.9998,"the fitness center is well-equipped, and the reservation system functions properly"
and the reservation system functions properly,reservation system,functions properly,Experience,0.47353360056877136,Positive,0.9997,"the fitness center is well-equipped, and the reservation system functions properly"
the Wi-Fi connection is stable,Wi-Fi connection,stable,Amenity,0.9142235517501831,Positive,0.9996,"the Wi-Fi connection is stable, and guest management is handled efficiently"
and guest management is handled efficiently,guest management,efficiently,Amenity,0.5241686105728149,Positive,0.9997,"the Wi-Fi connection is stable, and guest management is handled efficiently"
the breakfast service is standard,breakfast service,standard,Facility,0.47474405169487,Positive,0.9805,"the breakfast service is standard, and the payment system is straightforward"
and the payment system is straightforward,payment system,straightforward,Facility,0.5386344194412231,Positive,0.9991,"the breakfast service is standard, and the payment system is straightforward"
the pool area is relaxing,,relaxing,Facility,0.7559652924537659,Positive,0.9996,"the pool area is relaxing, and mobile accessibility is functional"
mobile accessibility is functional,accessibility,functional,Branding,0.8208908438682556,Positive,0.9985,"the pool area is relaxing, and mobile accessibility is functional"
the security measures are satisfactory,security measures,satisfactory,Amenity,0.876802384853363,Positive,0.9998,"the security measures are satisfactory, and the maintenance of the gym equipment is adequate"
the maintenance of the gym equipment is adequate,gym equipment,adequate,Amenity,0.8266084790229797,Positive,0.9993,"the security measures are satisfactory, and the maintenance of the gym equipment is adequate"
the room service meals are acceptable,"service,meal",acceptable,Amenity,0.6954405307769775,Positive,0.9994,"the room service meals are acceptable, and the reservation management is efficient"
and the reservation management is efficient,"reservation,efficient",efficient,Branding,0.44348961114883423,Positive,0.9998,"the room service meals are acceptable, and the reservation management is efficient"
the fitness center is accessible,fitness center,accessible,Amenity,0.6268609166145325,Positive,0.9993,"the fitness center is accessible, and the guest management system is functional"
the guest management system is functional,guest management system,functional,Facility,0.5862088203430176,Positive,0.9989,"the fitness center is accessible, and the guest management system is functional"
the Wi-Fi is available throughout the hotel,"Wi-Fi,hotel",available,Amenity,0.8581070899963379,Positive,0.9771,"the Wi-Fi is available throughout the hotel, and the payment process is simple"
the payment process is simple,payment process,,Amenity,0.8234198093414307,Positive,0.9969,"the Wi-Fi is available throughout the hotel, and the payment process is simple"
the mobile app offers basic functionality,mobile app,basic,Amenity,0.5314180850982666,Positive,0.9921,"the mobile app offers basic functionality, and the pool maintenance is regular"
and the pool maintenance is regular,pool maintenance,regular,Facility,0.7549073100090027,Negative,0.6349,"the mobile app offers basic functionality, and the pool maintenance is regular"
the breakfast options are varied,,varied,Amenity,0.47447144985198975,Positive,0.9969,"the breakfast options are varied, and the maintenance of public areas is satisfactory"
and the maintenance of public areas is satisfactory,maintenance,satisfactory,Facility,0.7182568311691284,Positive,0.9998,"the breakfast options are varied, and the maintenance of public areas is satisfactory"
the fitness center is well-kept,fitness center,well-kept,Facility,0.6445682048797607,Positive,0.9997,"the fitness center is well-kept, and reservation management is user-friendly"
and reservation management is user-friendly,reservation management,user-friendly,Amenity,0.7520484328269958,Positive,0.9712,"the fitness center is well-kept, and reservation management is user-friendly"
the security system is reliable,security system,reliable,Facility,0.4777719974517822,Positive,0.9997,"the security system is reliable, and the maintenance of the hotel rooms is routine"
the maintenance of the hotel rooms is routine,"maintenance,rooms",routine,Amenity,0.7814504504203796,Negative,0.9989,"the security system is reliable, and the maintenance of the hotel rooms is routine"
the pool area is enjoyable,,enjoyable,Branding,0.7997341156005859,Positive,0.9999,"the pool area is enjoyable, and mobile accessibility is satisfactory"
mobile accessibility is satisfactory,accessibility,satisfactory,Branding,0.5265649557113647,Positive,0.9997,"the pool area is enjoyable, and mobile accessibility is satisfactory"
the room breakfast is average,"room,breakfast",average,Facility,0.7679007053375244,Negative,0.94,"the room breakfast is average, and guest management is handled appropriately"
and guest management is handled appropriately,guest management,appropriately,Service,0.7654426693916321,Positive,0.9989,"the room breakfast is average, and guest management is handled appropriately"
the fitness center is convenient,fitness center,convenient,Facility,0.6549355983734131,Positive,0.9991,"the fitness center is convenient, and payment handling is efficient"
and payment handling is efficient,payment handling,efficient,Amenity,0.6723514199256897,Positive,0.9998,"the fitness center is convenient, and payment handling is efficient"
the Wi-Fi coverage is adequate,Wi-Fi,adequate,Amenity,0.7814428210258484,Positive,0.9995,"the Wi-Fi coverage is adequate, and maintenance of the facilities is ongoing"
maintenance of the facilities is ongoing,facilities,ongoing,Service,0.7504191994667053,Positive,0.9904,"the Wi-Fi coverage is adequate, and maintenance of the facilities is ongoing"
the pool is well-maintained,pool,well-maintained,Facility,0.6454368829727173,Positive,0.9998,"the pool is well-maintained, and the reservation system operates smoothly"
and the reservation system operates smoothly,,,Facility,0.6293786764144897,Positive,0.9998,"the pool is well-maintained, and the reservation system operates smoothly"
the breakfast options are sufficient,breakfast options,sufficient,Facility,0.6679519414901733,Positive,0.999,"the breakfast options are sufficient, and security management is standard"
and security management is standard,security management,standard,Facility,0.7457723617553711,Positive,0.9704,"the breakfast options are sufficient, and security management is standard"
the mobile app is accessible,mobile app,accessible,Facility,0.4309707283973694,Positive,0.9966,"the mobile app is accessible, and the maintenance of amenities is regular"
the maintenance of amenities is regular,amenities,regular,Branding,0.5366345643997192,Positive,0.9949,"the mobile app is accessible, and the maintenance of amenities is regular"
the guest management system is effective,guest management system,effective,Facility,0.36221054196357727,Positive,0.9998,"the guest management system is effective, and payment processing is smooth"
and payment processing is smooth,payment processing,smooth,Amenity,0.43729397654533386,Positive,0.999,"the guest management system is effective, and payment processing is smooth"
the security features are adequate,,adequate,Facility,0.8640837669372559,Positive,0.9996,"the security features are adequate, and the fitness center is maintained regularly"
the fitness center is maintained regularly,,regularly,Amenity,0.6219589710235596,Positive,0.9981,"the security features are adequate, and the fitness center is maintained regularly"
the Wi-Fi service is stable,Wi-Fi service,"stable, consistent",Amenity,0.7615413665771484,Positive,0.9994,"the Wi-Fi service is stable, and the maintenance of common areas is consistent"
the maintenance of common areas is consistent,"maintenance,common areas",,Branding,0.7326247096061707,Positive,0.9997,"the Wi-Fi service is stable, and the maintenance of common areas is consistent"
the breakfast is typical,breakfast,typical,Facility,0.8492323160171509,Negative,0.9834,"the breakfast is typical, and the mobile accessibility works fine"
and the mobile accessibility works fine,accessibility,works fine,Facility,0.839785635471344,Positive,0.9998,"the breakfast is typical, and the mobile accessibility works fine"
the pool is functional,pool,functional,Amenity,0.8485881686210632,Positive,0.9996,"the pool is functional, and the reservation system is straightforward"
the reservation system is straightforward,reservation system,straightforward,Facility,0.685965895652771,Positive,0.9974,"the pool is functional, and the reservation system is straightforward"
the fitness center is available,fitness center,available,Amenity,0.8838421702384949,Positive,0.9982,"the fitness center is available, and the guest management is adequate"
the guest management is adequate,guest management,adequate,Service,0.7995336651802063,Positive,0.9997,"the fitness center is available, and the guest management is adequate"
the security system is operational,security system,operational,Experience,0.3584780991077423,Positive,0.9989,"the security system is operational, and the maintenance of the pool is up to date"
the maintenance of the pool is up to date,"maintenance,pool",up to date,Amenity,0.9214300513267517,Positive,0.9986,"the security system is operational, and the maintenance of the pool is up to date"
the Wi-Fi is reliable,Wi-Fi,"reliable, smooth",Facility,0.6394457817077637,Positive,0.9997,"the Wi-Fi is reliable, and the reservation process is smooth"
the reservation process is smooth,reservation process,,Amenity,0.8346376419067383,Positive,0.9969,"the Wi-Fi is reliable, and the reservation process is smooth"
the breakfast service is average,breakfast service,average,Amenity,0.3664292097091675,Negative,0.8986,"the breakfast service is average, and the maintenance of guest rooms is adequate"
the maintenance of guest rooms is adequate,rooms,adequate,Service,0.6431422233581543,Positive,0.9995,"the breakfast service is average, and the maintenance of guest rooms is adequate"
the mobile app provides basic features,mobile app,"basic, well-kept",Facility,0.6012466549873352,Positive,0.9975,"the mobile app provides basic features, and the fitness center is well-kept"
and the fitness center is well-kept,fitness center,,Facility,0.8030626773834229,Positive,0.9998,"the mobile app provides basic features, and the fitness center is well-kept"
the security management is effective,,effective,Branding,0.6029943823814392,Positive,0.9998,"the security management is effective, and the pool maintenance is regular"
and the pool maintenance is regular,,regular,Facility,0.7549073100090027,Negative,0.6349,"the security management is effective, and the pool maintenance is regular"
the payment options are sufficient,,sufficient,Amenity,0.5896616578102112,Positive,0.9993,"the payment options are sufficient, and the mobile app is responsive"
the mobile app is responsive,,responsive,Branding,0.6673517823219299,Positive,0.9994,"the payment options are sufficient, and the mobile app is responsive"
the breakfast choices are decent,breakfast choices,decent,Facility,0.8891908526420593,Positive,0.9997,"the breakfast choices are decent, and the fitness center is accessible"
and the fitness center is accessible,fitness center,accessible,Branding,0.5503916144371033,Positive,0.9995,"the breakfast choices are decent, and the fitness center is accessible"
the security measures are adequate,security,adequate,Facility,0.7316209673881531,Positive,0.9996,"the security measures are adequate, and the reservation system is operational"
and the reservation system is operational,reservation,operational,Amenity,0.7922665476799011,Positive,0.9993,"the security measures are adequate, and the reservation system is operational"
the maintenance of public areas is routine,"maintenance,guest management system",routine,Facility,0.5685282945632935,Negative,0.9991,"the maintenance of public areas is routine, and the guest management system is effective"
the guest management system is effective,guest management system,,Facility,0.362211674451828,Positive,0.9998,"the maintenance of public areas is routine, and the guest management system is effective"
the pool cleanliness is acceptable,"pool,cleanliness",acceptable,Facility,0.819374680519104,Positive,0.9992,"the pool cleanliness is acceptable, and the mobile accessibility is reliable"
the mobile accessibility is reliable,accessibility,reliable,Amenity,0.5045735836029053,Positive,0.9996,"the pool cleanliness is acceptable, and the mobile accessibility is reliable"
the fitness center is available,fitness center,available,Amenity,0.8838421702384949,Positive,0.9982,"the fitness center is available, and the payment methods are varied"
the payment methods are varied,payment methods,varied,Amenity,0.8541222810745239,Positive,0.9779,"the fitness center is available, and the payment methods are varied"
the reservation system is user-friendly,reservation system,user-friendly,Amenity,0.7241829633712769,Positive,0.9574,"the reservation system is user-friendly, and the maintenance is timely"
and the maintenance is timely,maintenance,,Facility,0.6181372404098511,Positive,0.9997,"the reservation system is user-friendly, and the maintenance is timely"
the breakfast is standard,breakfast,standard,Facility,0.7782543897628784,Positive,0.9945,"the breakfast is standard, and the security system is functional"
and the security system is functional,,functional,Facility,0.723732054233551,Positive,0.9987,"the breakfast is standard, and the security system is functional"
the guest rooms are comfortable,"guest rooms,Wi-Fi",comfortable,Service,0.7919061779975891,Positive,0.9998,"the guest rooms are comfortable, and the Wi-Fi connection is stable"
the Wi-Fi connection is stable,Wi-Fi,stable,Amenity,0.9142235517501831,Positive,0.9996,"the guest rooms are comfortable, and the Wi-Fi connection is stable"
the mobile app is user-friendly,mobile app,user-friendly,Facility,0.8157612681388855,Positive,0.9535,"the mobile app is user-friendly, and the breakfast service is adequate"
and the breakfast service is adequate,breakfast service,adequate,Amenity,0.5307282209396362,Positive,0.9997,"the mobile app is user-friendly, and the breakfast service is adequate"
the fitness center is clean,fitness center,clean,Facility,0.6365011930465698,Positive,0.9988,"the fitness center is clean, and the payment options are sufficient"
the payment options are sufficient,payment options,sufficient,Amenity,0.5896621346473694,Positive,0.9993,"the fitness center is clean, and the payment options are sufficient"
the security features are comprehensive,,comprehensive,Facility,0.6692283749580383,Positive,0.9996,"the security features are comprehensive, and the mobile app is functional"
and the mobile app is functional,,functional,Amenity,0.49375370144844055,Positive,0.999,"the security features are comprehensive, and the mobile app is functional"
the pool area is well-maintained,pool area,well-maintained,Facility,0.6653410792350769,Positive,0.9998,"the pool area is well-maintained, and the guest management system is efficient"
the guest management system is efficient,guest management system,efficient,Facility,0.670898973941803,Positive,0.9998,"the pool area is well-maintained, and the guest management system is efficient"
the breakfast options are standard,breakfast options,standard,Facility,0.552740752696991,Positive,0.9892,"the breakfast options are standard, and the reservation process is easy to navigate"
and the reservation process is easy to navigate,reservation process,easy,Amenity,0.5378472208976746,Positive,0.9994,"the breakfast options are standard, and the reservation process is easy to navigate"
the mobile app features are basic,mobile app,basic,Facility,0.8409183621406555,Positive,0.9981,"the mobile app features are basic, and the fitness center is well-maintained"
and the fitness center is well-maintained,fitness center,well-maintained,Facility,0.7506289482116699,Positive,0.9998,"the mobile app features are basic, and the fitness center is well-maintained"
the Wi-Fi speed is acceptable,Wi-Fi,acceptable,Amenity,0.8352033495903015,Positive,0.9958,"the Wi-Fi speed is acceptable, and the guest management is satisfactory"
the guest management is satisfactory,management,satisfactory,Amenity,0.837820827960968,Positive,0.9998,"the Wi-Fi speed is acceptable, and the guest management is satisfactory"
the security system is reliable,security system,reliable,Facility,0.47777092456817627,Positive,0.9997,"the security system is reliable, and the maintenance of amenities is routine"
the maintenance of amenities is routine,amenities,routine,Branding,0.6454681754112244,Negative,0.9985,"the security system is reliable, and the maintenance of amenities is routine"
the guest rooms are clean,guest rooms,"the, clean",Facility,0.88996422290802,Positive,0.9985,"the guest rooms are clean, and the breakfast quality is acceptable"
the breakfast quality is acceptable,breakfast,"quality, acceptable",Facility,0.8359124660491943,Positive,0.9994,"the guest rooms are clean, and the breakfast quality is acceptable"
the mobile app performance is stable,mobile app,stable,Facility,0.6520973443984985,Positive,0.9996,"the mobile app performance is stable, and the pool area is clean"
the pool area is clean,pool area,clean,Facility,0.8083240389823914,Positive,0.9996,"the mobile app performance is stable, and the pool area is clean"
the breakfast is satisfactory,breakfast,satisfactory,Facility,0.6802141070365906,Positive,0.9998,"the breakfast is satisfactory, and the guest management system operates smoothly"
and the guest management system operates smoothly,guest management system,smoothly,Facility,0.5436166524887085,Positive,0.9997,"the breakfast is satisfactory, and the guest management system operates smoothly"
the mobile app functionality is adequate,mobile app,adequate,Facility,0.5839093923568726,Positive,0.9997,"the mobile app functionality is adequate, and the pool maintenance is timely"
and the pool maintenance is timely,pool,timely,Facility,0.7432881593704224,Positive,0.9995,"the mobile app functionality is adequate, and the pool maintenance is timely"
the Wi-Fi connection is stable,Wi-Fi connection,stable,Amenity,0.9142235517501831,Positive,0.9996,"the Wi-Fi connection is stable, and the reservation system is easy to use"
the reservation system is easy to use,reservation system,easy,Amenity,0.6211597919464111,Positive,0.997,"the Wi-Fi connection is stable, and the reservation system is easy to use"
the security measures are sufficient,security measures,sufficient,Amenity,0.8314847946166992,Positive,0.9985,"the security measures are sufficient, and the fitness center is adequately equipped"
the fitness center is adequately equipped,fitness center,adequately,Facility,0.7745190858840942,Positive,0.9983,"the security measures are sufficient, and the fitness center is adequately equipped"
the mobile accessibility is functional,mobile accessibility,functional,Facility,0.48075658082962036,Positive,0.9984,"the mobile accessibility is functional, and the breakfast service is acceptable"
the breakfast service is acceptable,breakfast service,acceptable,Amenity,0.6002917885780334,Positive,0.9992,"the mobile accessibility is functional, and the breakfast service is acceptable"
the payment options are varied,,varied,Amenity,0.8370776772499084,Positive,0.9698,"the payment options are varied, and the maintenance of common areas is regular"
and the maintenance of common areas is regular,maintenance,regular,Facility,0.7533966898918152,Positive,0.9983,"the payment options are varied, and the maintenance of common areas is regular"
the guest management system is reliable,guest management system,reliable,Facility,0.6277311444282532,Positive,0.9997,"the guest management system is reliable, and the pool area is maintained properly"
the pool area is maintained properly,pool area,maintained properly,Amenity,0.8314312100410461,Positive,0.9995,"the guest management system is reliable, and the pool area is maintained properly"
the fitness center is available,fitness center,available,Amenity,0.8838419914245605,Positive,0.9982,"the fitness center is available, and the reservation management is straightforward"
and the reservation management is straightforward,reservation management,straightforward,Branding,0.67510586977005,Positive,0.9985,"the fitness center is available, and the reservation management is straightforward"
the Wi-Fi service is consistent,Wi-Fi service,consistent,Facility,0.5441405177116394,Positive,0.9995,"the Wi-Fi service is consistent, and the mobile app provides essential features"
the mobile app provides essential features,mobile app,,Facility,0.6379412412643433,Positive,0.9996,"the Wi-Fi service is consistent, and the mobile app provides essential features"
the security management is thorough,security management,thorough,Amenity,0.6331540942192078,Positive,0.9992,"the security management is thorough, and the breakfast offerings are standard"
and the breakfast offerings are standard,breakfast offerings,standard,Facility,0.4835447669029236,Positive,0.9971,"the security management is thorough, and the breakfast offerings are standard"
the mobile app interface is user-friendly,mobile app interface,user-friendly,Service,0.49818912148475647,Positive,0.992,"the mobile app interface is user-friendly, and the fitness center equipment is functional"
and the fitness center equipment is functional,fitness center equipment,,Facility,0.7263716459274292,Positive,0.9993,"the mobile app interface is user-friendly, and the fitness center equipment is functional"
the payment system is secure,payment system,secure,Facility,0.6783252358436584,Positive,0.9987,"the payment system is secure, and the guest rooms are adequately maintained"
the guest rooms are adequately maintained,rooms,adequately maintained,Amenity,0.5054762363433838,Positive,0.9993,"the payment system is secure, and the guest rooms are adequately maintained"
the pool area is clean,pool area,clean,Facility,0.8083246946334839,Positive,0.9996,"the pool area is clean, and the reservation process is efficient"
the reservation process is efficient,reservation process,efficient,Amenity,0.8165099024772644,Positive,0.9998,"the pool area is clean, and the reservation process is efficient"
the breakfast is served on time,breakfast,on time,Facility,0.7811774611473083,Positive,0.9928,"the breakfast is served on time, and the security system is up-to-date"
the security system is up-to-date,,up-to-date,Amenity,0.9171226620674133,Positive,0.9982,"the breakfast is served on time, and the security system is up-to-date"
the mobile app provides easy navigation,app,easy,Amenity,0.5946164727210999,Positive,0.9949,"the mobile app provides easy navigation, and the fitness center is well-organized"
the fitness center is well-organized,,well-organized,Amenity,0.8793663382530212,Positive,0.9998,"the mobile app provides easy navigation, and the fitness center is well-organized"
the payment procedures are straightforward,payment,straightforward,Amenity,0.8840190768241882,Positive,0.9979,"the payment procedures are straightforward, and the pool cleanliness is acceptable"
and the pool cleanliness is acceptable,"pool,cleanliness",acceptable,Branding,0.49604976177215576,Positive,0.9991,"the payment procedures are straightforward, and the pool cleanliness is acceptable"
the guest management system is efficient,guest management system,efficient,Facility,0.670898973941803,Positive,0.9998,"the guest management system is efficient, and the Wi-Fi connection is reliable"
the Wi-Fi connection is reliable,Wi-Fi connection,reliable,Facility,0.7495715618133545,Positive,0.9995,"the guest management system is efficient, and the Wi-Fi connection is reliable"
the fitness center hours are convenient,fitness center,convenient,Facility,0.4361686408519745,Positive,0.9984,"the fitness center hours are convenient, and the reservation management is effective"
the reservation management is effective,reservation management,effective,Facility,0.7393586039543152,Positive,0.9998,"the fitness center hours are convenient, and the reservation management is effective"
the breakfast choices are varied,,varied,Facility,0.8714520335197449,Positive,0.99,"the breakfast choices are varied, and the maintenance of amenities is routine"
and the maintenance of amenities is routine,,routine,Facility,0.7666907906532288,Negative,0.9986,"the breakfast choices are varied, and the maintenance of amenities is routine"
the security management is thorough,security management,thorough,Amenity,0.6331539750099182,Positive,0.9992,"the security management is thorough, and the mobile app is consistently functional"
and the mobile app is consistently functional,mobile app,consistently functional,Facility,0.6134234070777893,Positive,0.9993,"the security management is thorough, and the mobile app is consistently functional"
the guest rooms are well-equipped,rooms,well-equipped,Facility,0.7549218535423279,Positive,0.9998,"the guest rooms are well-equipped, and the pool area maintenance is reliable"
and the pool area maintenance is reliable,,,Facility,0.8646599054336548,Positive,0.9992,"the guest rooms are well-equipped, and the pool area maintenance is reliable"
the breakfast options are sufficient,breakfast options,sufficient,Facility,0.6679561138153076,Positive,0.999,"the breakfast options are sufficient, and the guest management system is functional"
and the guest management system is functional,guest management system,functional,Amenity,0.8872026205062866,Positive,0.9981,"the breakfast options are sufficient, and the guest management system is functional"
the Wi-Fi speed is adequate,Wi-Fi,adequate,Amenity,0.7848783135414124,Positive,0.9995,"the Wi-Fi speed is adequate, and the security system is reliable"
the security system is reliable,security system,reliable,Facility,0.4777719974517822,Positive,0.9997,"the Wi-Fi speed is adequate, and the security system is reliable"
